row,column,cor,p
RH,DH,1,0
GS,RTG,0.707498204842977,0
RGS,RTG,0.577989992675831,0
BB,GS,0.577351691588472,0
RS,SHR,0.501841575898551,0
SS,FS,0.490130559427205,0
BS,RS,0.430834180721683,0
RH,WH,0.423305088258929,0
WH,DH,0.423305088258929,0
BB,RTG,0.40938200075671,0
GS,RGS,0.407117471252014,0
RH,FS,0.373996238981907,8.77076189453874e-14
DH,FS,0.373996238981907,8.77076189453874e-14
RB,NBS,0.356922614298023,1.83253412444628e-12
RH,SS,0.335045946885108,9.42659283964531e-11
SS,DH,0.335045946885108,9.42659283964531e-11
RB,LM,0.332314499173573,1.50159884526602e-10
PM,RTG,0.328892137222335,2.6828184118699e-10
BS,SHR,0.325668359974912,4.60230964449693e-10
BLB,SHB,0.314372974060862,2.92020208014776e-09
WH,FS,0.305598428167873,1.16271410277591e-08
RT,RB,0.299764246640217,2.83870416062371e-08
LF,SHB,0.296977258937585,4.31178932558396e-08
NB,LB,0.293760705575612,6.9488448550814e-08
DP,SHR,0.292864282910737,7.91390473153797e-08
LM,NBS,0.284570274904525,2.63527898169968e-07
BLS,NBS,0.276743611786503,7.91098031527326e-07
RS,HB,0.273463685546721,1.23937209584035e-06
BLS,SHR,0.271952655830493,1.51890225996709e-06
WM,NBS,0.2711027850592,1.70005609212431e-06
BS,NBS,0.249964957169645,2.62975822700184e-05
SS,WH,0.242165172633544,6.78912885077043e-05
BLS,BB,0.241046440154863,7.74030545427351e-05
LS,BS,0.2319806758341,0.000222839124023988
BB,RGS,0.231383772636267,0.000237952163397281
RH,SHB,0.230611986899719,0.000259153833011672
DH,SHB,0.230611986899719,0.000259153833011672
PM,GS,0.228497973308317,0.000327540225865786
LS,RTG,0.227632930330163,0.000360062178845766
WM,BS,0.225960712708474,0.000432989991354438
BLS,GS,0.220791844019538,0.000763175646434799
FS,SHB,0.218346916138359,0.000991692162709557
BLB,BLS,0.215120252056169,0.0013959619078161
LM,BLS,0.214112091570571,0.00154875492539142
RH,HB,0.212929929978572,0.0017490355759322
DH,HB,0.212929929978572,0.0017490355759322
DP,RS,0.210299989241212,0.00228807007180976
DP,BLS,0.206182428407627,0.00348090670797951
WH,BLB,0.206102808169331,0.00349938685495488
PM,LS,0.205129905511464,0.00385096069546909
RT,SS,0.205090697798391,0.00385541484000917
RT,FS,0.204290779648086,0.00416748565794656
RB,BB,0.203926981947517,0.0043105497996434
WM,BLB,0.202442836030546,0.00498665769334683
FS,HB,0.199856370059623,0.00642494907327773
DP,RTH,0.195944451144361,0.00938118297121449
RT,WH,0.190467784469504,0.0157565462377995
HB,SHR,0.189782510725873,0.0167536219068993
LM,BLB,0.18880115101002,0.0183076333859526
RT,RH,0.187809058645063,0.0200162373301951
RT,DH,0.187809058645063,0.0200162373301951
PM,RGS,0.183246044561419,0.0302139296092274
RB,RTG,0.183181873718124,0.0303016226012733
NB,RS,0.1827100696899,0.0315281308993258
SS,LF,0.181643244492555,0.0344994791322082
LM,WM,0.180879089885675,0.0368322927787235
RT,BLB,0.180693518850497,0.0373372052061618
NBS,SHB,-0.182431723609546,0.0322344975304834
