"","Node","Edges","avg_p","CC","country_season"
"1",20,54,1.94964028776978,0.726760563380282,"CP_ds"
"2",22,68,2.52380952380952,0.703030303030303,"CP_ws"
"3",10,17,1.19047619047619,0.818181818181818,"OR_ds"
"4",17,36,1.97619047619048,0.727810650887574,"OR_ws"
"5",19,26,2.15492957746479,0.583333333333333,"RR_ds"
"6",16,29,2.73333333333333,0.519230769230769,"RR_ws"
"7",18,33,2.32231404958678,0.709923664122137,"TM_ds"
"8",14,46,1.56043956043956,0.676767676767677,"TM_ws"
"9",28,111,1.98941798941799,0.555439330543933,"WJ_ds"
"10",18,33,1.78082191780822,0.626086956521739,"WJ_ws"
